Gene,Total_Exons,Significant_Exons,Min_Padj,Max_Abs_Log2FC,Percent_Significant
SETD5,32,0,0.0,0.4425705149425831,0.0
NSD2,40,1,0.0,0.6627029360342807,2.5
POLE,51,1,0.0,10.434710083318128,1.9607843137254901
HTT,67,0,0.0,0.4619998613143989,0.0
PER3,29,2,0.0,2.541446114018094,6.896551724137931
MED14,31,0,0.0,0.3867722093558878,0.0
